Arc_No	Distance	Stops	Speed	Route1	Route2	Route3	Route4	Station_Depot	Depot_Station		
1	813	0	8.940777778	1	1	1	1	1	0		9
2	811	0	8.940777778	1	1	0	0	0	0		9
3	4940	0	17.88155556	1	1	0	0	0	0		50
4	370	0	8.940777778	1	1	0	0	0	0		4
5	176	0	8.940777778	1	0	0	0	0	0		2
6	100	0	6.705583333	1	0	0	0	0	0		1
7	431	1	8.940777778	1	0	1	0	0	0		5
8	380	0	8.940777778	1	0	1	0	0	0		4
9	214	0	8.940777778	1	0	1	0	0	0		3
10	1310	5	8.940777778	1	0	1	0	0	0		14
11	322	1	8.940777778	1	0	1	0	0	0		4
12	3210	4	13.41116667	1	0	1	0	0	0		33
13	1400	0	17.88155556	1	1	1	1	0	0		14
14	291	0	8.940777778	1	1	1	1	0	0		3
15	391	0	13.41116667	1	1	1	1	0	0		4
16	811	0	8.940777778	1	1	1	1	0	0		9
17	813	0	8.940777778	1	1	1	1	0	1		9
18	100	0	8.940777778	0	1	0	0	0	0		1
19	135	0	8.940777778	0	1	0	0	0	0		
20	360	0	8.940777778	0	1	0	0	0	0		
21	575	2	6.705583333	0	1	0	1	0	0		
22	2920	9	8.940777778	0	1	0	1	0	0		
23	1820	8	13.41116667	0	1	0	1	0	0		
24	813	1	8.940777778	0	0	1	1	1	0		
25	483	1	8.940777778	0	0	1	1	1	0		
26	281	0	8.940777778	0	0	1	1	0	0		
27	1420	0	17.88155556	0	0	1	1	0	0		
28	1820	8	13.41116667	0	0	1	1	0	0		
29	2920	9	8.940777778	0	0	1	1	0	0		
30	193	0	8.940777778	0	0	1	0	0	0		
31	3210	5	13.41116667	0	0	0	1	0	0		
32	2320	4	8.940777778	0	0	0	1	0	0		
33	2340	0	8.940777778	0	0	0	0	1	0		
34	3049	0	8.940777778	0	0	0	0	0	1		
